task_id,factor_1,factor_2,cluster
18851.0,2.044598158446196,2.3185971894448367,1
18027.0,1.3951189234767576,1.358466812644667,1
4.0,1.2954985396498606,1.2258700908447975,1
12917.0,0.934119318326439,1.6960986376756124,1
15408.0,0.9260597881654935,1.1752152486893737,1
20182.0,0.8374273557559883,1.2833775192042876,1
3403.0,0.8027400004805793,1.5577812076198387,1
20316.0,0.7558406909072855,1.1301648176068977,1
7366.0,0.7181230857203522,1.2604932163723783,1
7193.0,0.636440276329386,1.6097683195474635,1
16187.0,0.6121609817994422,1.7874294243165125,1
1001.0,0.6060101016528228,0.8971482566550656,1
21.0,0.5662942451871197,1.0274730743356095,1
7365.0,0.5557613938681573,0.8660504275949011,1
1257.0,0.5183250710456381,1.003944526360592,1
15876.0,0.41956308038120405,1.1822685253295881,1
18090.0,0.3762777424144826,0.8263681210785994,1
18935.0,0.3622235464065253,1.3343539465521375,1
20723.0,0.33352485831676476,0.7849495007375691,1
16255.0,0.3300550104733021,1.0845325264283112,1
15905.0,0.3240540674580251,0.7333079480386334,1
3512.0,0.311197268242615,1.1966456391609614,1
15881.0,0.30597911235086966,1.221842812909828,1
15735.0,0.28383416444809967,1.213112643544109,1
1217.0,0.27235166961513924,0.9137130113491865,1
3414.0,0.26602505153243466,1.3937141334387464,1
8961.0,0.2638330341756256,0.8704492939520434,1
15902.0,0.2525734701148346,1.6862260783496266,1
20951.0,0.24521691668913748,0.8932524569723514,1
1094.0,0.23967315702058745,1.8162139930291654,1
15872.0,0.22721707928664114,0.8216377799412281,1
3402.0,0.2183687816833833,1.1296096388349528,1
1019.0,0.21781495088554417,0.8574912560715284,1
3287.0,0.21302159359897507,1.6490895438231217,1
3413.0,0.2058927448037357,1.6513642479471526,1
3362.0,0.20561933073784405,1.5218812960492571,1
8956.0,0.17279893097007773,2.054241363338146,1
15803.0,0.10859367343127269,1.032823508116546,1
18931.0,2.081141876015345,1.3024843711776741,2
16151.0,1.9370742748739254,1.246116869480716,2
21315.0,1.921026693704935,1.3354248527376897,2
7320.0,1.9057285720158454,1.2521677984165678,2
1255.0,1.8288791401603182,0.30163407279337273,2
21352.0,1.79338576335016,1.0833808272854677,2
18896.0,1.7123247819723435,0.3410143396195359,2
18836.0,1.6993656270781776,0.27689597290630236,2
14645.0,1.6949716733593927,0.2833950415582534,2
3399.0,1.5220472854769909,0.4417816743085088,2
21512.0,1.4507720631235095,0.43345263649913146,2
18957.0,1.2613751780468918,0.29492478851159404,2
5231.0,1.1857434680208627,0.2952292639809941,2
15473.0,1.1277118766163416,0.881746683486682,2
15821.0,1.1269294973313355,0.2549626433353432,2
3396.0,1.1210222801472824,0.63008672428669,2
18894.0,1.0513516028759655,0.377975524776444,2
7361.0,1.0108196849334263,0.36445317295567353,2
18868.0,1.0,0.0,2
8955.0,0.9855980648343958,0.3221373029850583,2
3404.0,0.9389078374412637,0.2510887239732218,2
8967.0,0.9260300450253148,0.26159771689402983,2
21522.0,0.9174660740756178,0.7035118741003876,2
7318.0,0.8958968087635877,0.7734144153203437,2
16246.0,0.8939512578360376,0.8320983838959319,2
12904.0,0.8933285844756902,0.9129004662421019,2
18861.0,0.8900750687170612,0.3163846857703645,2
16129.0,0.8776144822162526,0.16740722573191522,2
15445.0,0.8528429346823683,0.37085073632398885,2
8957.0,0.8406992060697969,0.22513763763293712,2
1128.0,0.8401388098899757,0.5458044814394646,2
3394.0,0.8337866270537778,0.5481896694241976,2
17607.0,0.8134968145460311,0.4183173456295307,2
18943.0,0.8059539722992518,0.10408868664202242,2
18893.0,0.7959998415032732,0.7782191499144475,2
7358.0,0.7699297926682704,0.8372621817707215,2
16162.0,0.7662080881601839,0.24774562186399568,2
8938.0,0.7559966609725917,0.23153348549141348,2
1250.0,0.749889225107341,0.7690234775038226,2
1251.0,0.7296160127847988,0.3560964749439094,2
15681.0,0.7184156116284546,0.19761890565163273,2
15641.0,0.7014699884588834,0.8473021862689746,2
18847.0,0.6901441324038169,0.22404813331853804,2
3239.0,0.670364111548493,0.7418479315638816,2
3509.0,0.5966898361129997,0.16874698863892218,2
7389.0,0.5952255069102054,0.6159915109330383,2
15900.0,0.5910209273324651,0.2901024060530124,2
20701.0,0.5877010946710888,0.30297350231941755,2
18936.0,0.5101862856385228,0.6546265704270929,2
15558.0,0.5097744682368666,0.5062014732402184,2
3508.0,0.48741779019709847,0.34960354482702266,2
7199.0,0.4571710709309901,0.3930503851464596,2
1000.0,0.43297057542211276,0.42221102793325754,2
1259.0,0.432745706070505,0.35318624631705414,2
18918.0,0.4272785898990667,0.6643526980014436,2
18897.0,0.3683937056703838,0.3425114002384892,2
16155.0,0.28929097435394446,0.2999586094217368,2
108.0,0.2606329940255031,0.27836501524066704,2
15544.0,0.22329815267938463,0.5622255369424621,2
18983.0,0.1868680266191769,0.18041478486654622,2
15695.0,0.15987919258416186,0.26620815547569027,2
